username,repo name,stars count,repo url
babel,babel,41429,https://github.com/babel/babel
nylas,nylas-mail,24693,https://github.com/nylas/nylas-mail
swc-project,swc,24006,https://github.com/swc-project/swc
kriasoft,react-starter-kit,21500,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,20212,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,19995,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15076,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14618,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11254,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8035,https://github.com/grommet/grommet
developit,htm,7901,https://github.com/developit/htm
ben-rogerson,twin.macro,6271,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6127,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5580,https://github.com/documentationjs/documentation
insin,nwb,5512,https://github.com/insin/nwb
thinkjs,thinkjs,5276,https://github.com/thinkjs/thinkjs
egoist,poi,5271,https://github.com/egoist/poi
fkling,astexplorer,5021,https://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,4734,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4653,https://github.com/babel/babel-loader
